dimension,icc_2_1_absolute,icc_3_1_consistency,overall_sd,pooled_within_subject_sd,claim_level
108,0.78654605,0.80865727,0.028396162,0.01523276,feature_stability_qc_only
109,0.84791469,0.83325574,0.021534795,0.0098808252,feature_stability_qc_only
110,0.40086766,0.40547712,0.046779693,0.038855348,feature_stability_qc_only
111,0.45289494,0.54879933,0.025334445,0.020341653,feature_stability_qc_only
112,0.055106974,0.056874616,0.036806157,0.036114776,feature_stability_qc_only
113,0.94105452,0.94062703,0.068338216,0.019950924,feature_stability_qc_only
114,0.91625036,0.93510109,0.06019487,0.020830282,feature_stability_qc_only
115,0.58110544,0.6744943,0.04827073,0.034772705,feature_stability_qc_only
116,0.64041598,0.63417989,0.020766987,0.014008218,feature_stability_qc_only
117,0.051436957,0.045957454,0.019308588,0.018946684,feature_stability_qc_only
118,0.8507022,0.86352533,0.026437246,0.012030694,feature_stability_qc_only
119,-0.010586915,-0.010034889,0.034153996,0.034259124,feature_stability_qc_only
120,0.68072168,0.74548868,0.054348924,0.034873845,feature_stability_qc_only
121,0.46103806,0.50366864,0.04624505,0.036879016,feature_stability_qc_only
122,0.12892253,0.12596961,0.033540598,0.031980426,feature_stability_qc_only
123,0.47550948,0.55981071,0.044670664,0.035263926,feature_stability_qc_only
124,0.55166051,0.64888113,0.056039529,0.041521261,feature_stability_qc_only
125,0.00019983718,0.00017657219,0.019061905,0.019039554,feature_stability_qc_only
126,0.042854636,0.046386589,0.020719593,0.020427894,feature_stability_qc_only
127,0.34024754,0.31743017,0.03503022,0.0301656,feature_stability_qc_only
128,0.83573056,0.85285826,0.03923903,0.018668003,feature_stability_qc_only
129,0.36781628,0.37691025,0.046492965,0.039427768,feature_stability_qc_only
130,0.54120416,0.60234336,0.036066716,0.026962781,feature_stability_qc_only
131,0.26210238,0.26243075,0.018298659,0.016440887,feature_stability_qc_only
132,0.58470983,0.63383779,0.041617479,0.029853556,feature_stability_qc_only
133,0.9075303,0.91624459,0.052760363,0.019143037,feature_stability_qc_only
134,0.35975806,0.37274153,0.042680789,0.036373971,feature_stability_qc_only
135,0.88088513,0.8992712,0.054573337,0.022337781,feature_stability_qc_only
136,0.22967113,0.22144179,0.024527296,0.022378644,feature_stability_qc_only
137,0.34838256,0.36013003,0.046135767,0.039581729,feature_stability_qc_only
138,0.44245926,0.46703489,0.021297638,0.017207325,feature_stability_qc_only
139,0.15922356,0.1815286,0.035834585,0.033787334,feature_stability_qc_only
140,0.64415678,0.66713046,0.041214818,0.0276907,feature_stability_qc_only
141,0.42035276,0.43117488,0.04081898,0.033476256,feature_stability_qc_only
142,0.46649941,0.50272388,0.029514697,0.023439352,feature_stability_qc_only
143,0.22958804,0.21993655,0.037917096,0.034594709,feature_stability_qc_only
144,0.26819225,0.28369934,0.045742269,0.040993273,feature_stability_qc_only
145,0.11603441,0.12894155,0.019355271,0.018570168,feature_stability_qc_only
146,0.11012247,0.13636294,0.037306309,0.035905344,feature_stability_qc_only
147,0.15769417,0.1523136,0.034431889,0.032440137,feature_stability_qc_only
148,0.45028654,0.44131849,0.020147778,0.01617632,feature_stability_qc_only
149,0.47615728,0.56574598,0.045462179,0.035873901,feature_stability_qc_only
150,0.24304193,0.31026877,0.019488045,0.0177088,feature_stability_qc_only
151,0.44405125,0.53540183,0.054802601,0.044279219,feature_stability_qc_only
152,0.55712979,0.59640001,0.040012633,0.029471975,feature_stability_qc_only
153,0.48523843,0.50507769,0.047500216,0.037177342,feature_stability_qc_only
154,0.54043558,0.56211604,0.021034836,0.015725866,feature_stability_qc_only
155,0.87111421,0.86901949,0.028786889,0.012225909,feature_stability_qc_only
156,0.57433818,0.66193902,0.062302281,0.045176769,feature_stability_qc_only
157,0.84425653,0.8315176,0.033892837,0.015724363,feature_stability_qc_only
158,0.92342005,0.93631494,0.053180277,0.017625834,feature_stability_qc_only
159,0.76652764,0.76642427,0.0292429,0.016328975,feature_stability_qc_only
