photo_mesh,source_vertices,target_cap_vertices,front_axis,front_sign,pca_signs,score,mean_mm,median_mm,p75_mm,p90_mm,max_mm,alignment_preview
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,478,30712,1,1,"[-1, 1, -1]",3.4792264127255126,3.018948209620544,1.9402863763989469,3.0984764601341683,6.155760145306263,24.72186865442476,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,478,30712,1,1,"[1, 1, 1]",3.4159316319592454,2.7654976122067927,2.0395798041159514,3.2423383030888977,5.505407311373177,23.226679006549304,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,478,30712,1,1,"[-1, -1, 1]",3.4712422109200562,2.97117351538471,2.057152363810772,3.2776159847354456,5.656359388437137,23.619863185294662,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,478,30712,1,1,"[-1, -1, 1]",3.4590254089028285,2.9341416887577583,2.0558490546319774,3.085279382880016,5.612705417083405,20.838179805200067,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,478,30712,1,1,"[1, -1, -1]",3.5231142674281513,3.026601339343414,2.081820875287451,3.2700007160870097,5.765173568562802,28.78560741198386,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh_to_mri_alignment.png
