method,metric,n_genuine,n_impostor,genuine_median,genuine_p90,impostor_p10,impostor_median,median_margin,strict_gap_p10_minus_p90,auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,passes_genuine_p90_lt_impostor_p10
3ddfa_v2,mesh_median_pct_bbox,2,4,0.7157838501896235,0.9166792164801284,0.38653815798240687,0.547756226575307,-0.16802762361431656,-0.5301410584977215,0.375,0.5,0.5429108512939378,0.5,0.5,False
3ddfa_v2,mesh_p90_pct_bbox,2,4,1.2627001322398956,1.656522783954559,0.7387479322662669,1.0144330387688874,-0.24826709347100828,-0.9177748516882922,0.375,0.5,0.9205537243726138,0.5,0.5,False
3ddfa_v2,landmark_descriptor_distance,2,4,0.10128259949152293,0.12761804697047366,0.055174228746516445,0.08096856354348955,-0.020314035948033382,-0.07244381822395721,0.25,0.5,0.06836329014283454,0.5,0.5,False
mediapipe,mesh_median_pct_bbox,2,4,0.9905317128453628,1.2617763077541058,0.8207872035905643,0.9638838831361032,-0.026647829709259607,-0.4409891041635414,0.5,0.5,0.9018118589873715,0.5,0.5,False
mediapipe,mesh_p90_pct_bbox,2,4,2.231366970524003,2.920443206196644,1.7446213675540143,1.9230170275398413,-0.30834994298416163,-1.1758218386426296,0.5,0.5,1.790693941961393,0.5,0.5,False
mediapipe,landmark_descriptor_distance,2,4,0.12773985441555036,0.1823345482609436,0.09632503833936505,0.10546487960845058,-0.02227497480709978,-0.08600950992157856,0.5,0.5,0.10150206494039082,0.5,0.5,False
