method,photo_mesh,source_vertices,orientation,scale,fit_landmarks,landmark_residuals_json,landmark_rmse_mm,landmark_median_mm,landmark_p90_mm,landmark_max_mm,score,mean_mm,median_mm,p75_mm,p90_mm,max_mm,alignment_preview
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.13483536056953613,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 19.054992786137124, ""chin"": 9.915760888319017, ""brow_center"": 32.20500132940125, ""left_cheek"": 9.95536026758311, ""right_cheek"": 11.45718548298451}",18.595448216967906,11.45718548298451,26.9449979120956,32.20500132940125,19.16451869027803,9.63738048870164,9.710837292696194,12.265187357630467,14.103636163276335,18.21588117544623,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.11571620834171512,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 18.161317295271484, ""chin"": 8.818384437031654, ""brow_center"": 33.77320658997874, ""left_cheek"": 9.097463879580065, ""right_cheek"": 10.107695697549426}",18.618035313656033,10.107695697549426,27.52845087209584,33.77320658997874,17.8519785657946,8.496628100566275,8.621701502212135,10.846296575079009,12.346286692836099,16.865074257439957,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.1141143157228861,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 19.092685785626227, ""chin"": 10.272962809742696, ""brow_center"": 35.71402960521095, ""left_cheek"": 9.05153208405986, ""right_cheek"": 10.314930388196885}",19.666643577504566,10.314930388196885,29.065492077377066,35.71402960521095,18.490046535907506,9.09022286919694,9.08743128366358,11.580509357135655,13.15547796714998,17.641765345121566,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.10914891059757498,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 18.591012576912224, ""chin"": 9.763203386209563, ""brow_center"": 34.19750564054085, ""left_cheek"": 9.132914531834967, ""right_cheek"": 10.58913605359989}",19.005026762610342,10.58913605359989,27.9549084150894,34.19750564054085,18.454881380470294,8.990048367702752,8.770182230980527,11.3857980607496,13.336393282522685,17.634621493530855,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.11312515488724699,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 18.15528384575426, ""chin"": 8.464026874684007, ""brow_center"": 33.02168498813838, ""left_cheek"": 9.040011514416205, ""right_cheek"": 9.003225881204488}",18.190468088314223,9.040011514416205,27.075124531184734,33.02168498813838,16.711349628818997,8.645101148914035,9.025569816066096,10.85084636278878,12.119369511152586,16.162775434061757,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.11816970057827102,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 18.929650371188238, ""chin"": 9.477327905051276, ""brow_center"": 33.79776406425258, ""left_cheek"": 9.520669569251204, ""right_cheek"": 10.657740179237065}",18.94555799079649,10.657740179237065,27.850518587026848,33.79776406425258,18.556358097258595,9.278235672065174,9.359882712648176,11.67021791536693,13.35603259104606,17.6628440042775,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.12479673925378383,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 19.07323279267477, ""chin"": 9.857367851394201, ""brow_center"": 33.651886305479344, ""left_cheek"": 9.791213200627723, ""right_cheek"": 10.943690656609103}",19.021238567274594,10.943690656609103,27.820424900357516,33.651886305479344,18.854397001280407,9.47710631332996,9.556001195819261,11.987364622122819,13.837242613024445,18.011712074461474,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.1150080357642271,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 18.129590451584356, ""chin"": 10.549604275309846, ""brow_center"": 32.48116378036963, ""left_cheek"": 8.300258583546283, ""right_cheek"": 10.991172116025597}",18.35593831909904,10.991172116025597,26.74053444885552,32.48116378036963,18.495173858456035,8.531130952198694,8.188681302165566,10.883848898724604,13.059439906334378,17.243726093327716,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
mediapipe,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,lr_swapped,0.10685686969011475,"['nose_tip', 'chin', 'left_cheek', 'right_cheek']","{""nose_tip"": 18.43997019006407, ""chin"": 8.009887877727142, ""brow_center"": 33.11190135268491, ""left_cheek"": 9.784209066891112, ""right_cheek"": 9.865199178031354}",18.404573983121768,9.865199178031354,27.243128887636576,33.11190135268491,17.551063471700925,8.34410862835112,8.75082071760427,10.678801981684854,11.984018786276568,16.175880955457078,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\landmark_alignment\crops_mediapipe\kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_landmark_constrained_alignment.png
