reference_variant,session_group,source_id,method,scan_id,n_structures,median_abs_rel_error_pct,p90_abs_rel_error_pct,max_abs_rel_error_pct,median_operational_accuracy_pct,interpretation
trusted_method_balanced_median,2024_t1like,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,30,7.398488661476726,18.67547878703476,107.01371880723758,92.60151133852327,caution_moderate_volume_disagreement
trusted_method_balanced_median,2024_t1like,tigerbx_2024_3di,TIGERBx,kate_2024_3di,30,11.177258493832984,38.05662032446535,99.06575131410997,88.82274150616702,large_volume_disagreement
trusted_method_balanced_median,2024_t1like,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,30,4.9052535214452275,18.199522226904346,98.97863472490467,95.09474647855477,close_volume_match
trusted_method_balanced_median,2024_t1like,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,30,6.730597410582529,37.08369680480152,98.78276857994742,93.26940258941747,caution_moderate_volume_disagreement
trusted_source_median,2018_primary_t1,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,30,5.360962016937251,10.589482438449757,99.18368464205847,94.63903798306275,caution_moderate_volume_disagreement
trusted_source_median,2018_primary_t1,tigerbx_2018_t1,TIGERBx,kate_2018_t1,30,5.360962016937236,10.589482438449739,99.18368464205845,94.63903798306276,caution_moderate_volume_disagreement
trusted_source_median,2022_primary_t1,synthseg_2022_t1,SynthSeg,2022_sie_t1se,30,10.295561673474742,33.29756110404743,99.13749258602962,89.70443832652526,large_volume_disagreement
trusted_source_median,2022_primary_t1,tigerbx_2022_t1,TIGERBx,kate_2022_t1,30,10.295561673474758,33.29756110404742,99.13749258602962,89.70443832652523,large_volume_disagreement
trusted_source_median,2024_t1like,synthseg_2024_3di,SynthSeg,2024_phi_3di,31,10.519032382389316,32.251765916048676,35.196276670485354,89.48096761761069,large_volume_disagreement
trusted_source_median,2024_t1like,synthseg_2024_t1ffe_ax,SynthSeg,2024_phi_t1ffe_ax,31,6.299625032115606,16.828672160187313,98.73181886988698,93.7003749678844,caution_moderate_volume_disagreement
trusted_source_median,2024_t1like,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,31,5.777034735426191,16.256467878853044,115.67870130604993,94.22296526457382,caution_moderate_volume_disagreement
trusted_source_median,2024_t1like,tigerbx_2024_3di,TIGERBx,kate_2024_3di,32,13.861260772330024,47.2691100446727,99.0266464250262,86.13873922766997,large_volume_disagreement
trusted_source_median,2024_t1like,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,32,4.5604983985549845,12.425942044489561,98.93588339284518,95.43950160144502,close_volume_match
trusted_source_median,2024_t1like,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,32,5.830172140850037,46.60534029320402,153.8747222860649,94.16982785914996,caution_moderate_volume_disagreement
