dataset,branch,n,raw_model_output_min,raw_model_output_median,raw_model_output_max,app_years_min,app_years_median,app_years_max,raw_as_years_min,raw_as_years_median,raw_as_years_max,chronological_age_years_min,chronological_age_years_median,chronological_age_years_max,app_years_delta_median,raw_as_years_delta_median,raw_as_years_delta_mean
SIMON,simon_fastsurfer_orig_conformed,94,41.551475524902344,49.66972541809082,75.21623229980469,3.462622960408529,4.139143784840901,6.268019358317058,41.551475524902344,49.66972541809082,75.21623229980469,29.69,44.81,46.41,-40.34064355214437,6.64823829650879,6.5132470346004405
kate_n1_2026,existing_tigerbx_tbet,5,44.72478485107422,91.79253387451172,173.52215576171875,3.727065404256185,7.649377822875977,14.460179646809896,44.72478485107422,91.79253387451172,173.52215576171875,,,,,,
kate_n1_2026,raw_direct_t1like,5,43.28239440917969,64.22261810302734,265.95062255859375,3.606866200764974,5.351884841918945,22.162551879882812,43.28239440917969,64.22261810302734,265.95062255859375,,,,,,
