group,n_rows,n_predictions,mae_years,bias_years_pred_minus_chron,rmse_years,pearson_r_age_vs_prediction,pearson_r_prediction_vs_neurofm_brain_volume,pearson_r_prediction_vs_hdbet_mask_fraction,sex_0_count,sex_1_count,interpretation,predicted_age_years_mean,predicted_age_years_sd,predicted_age_years_min,predicted_age_years_median,predicted_age_years_max,predicted_brain_volume_mm3_mean,predicted_brain_volume_mm3_sd,predicted_brain_volume_mm3_min,predicted_brain_volume_mm3_median,predicted_brain_volume_mm3_max,hdbet_mask_fraction_mean,hdbet_mask_fraction_sd,hdbet_mask_fraction_min,hdbet_mask_fraction_median,hdbet_mask_fraction_max
all_hdbet,94,94,14.9457,14.9457,15.7196,0.31358,0.118539,0.14483,66,28,All 94 HD-BET skull-stripped SIMON FastSurfer orig.mgz derivatives; sanity/QC only.,58.4445,4.76129,45.7431,58.1296,79.4811,1.58353e+06,96024,1.18742e+06,1.58874e+06,1.80963e+06,0.0851962,0.00855526,0.0769286,0.0821817,0.13994
hdbet_1mm_inputs,78,78,14.0575,14.0575,14.5018,0.466731,0.406102,0.0466,59,19,Inputs already at 1x1x1 mm after HD-BET; no NeuroFM voxel-size warning expected.,57.9012,3.66383,49.4619,57.8851,68.1286,1.57383e+06,82195.3,1.34947e+06,1.58008e+06,1.76934e+06,0.0822385,0.0018649,0.0769286,0.0819943,0.0887839
hdbet_non_1mm_inputs,16,16,19.2759,19.2759,20.6527,0.297803,-0.408524,-0.137593,7,9,"Inputs with non-1mm voxel sizes; NeuroFM internally resamples/reorients, which may affect accuracy.",61.0928,7.91387,45.7431,62.156,79.4811,1.63082e+06,140043,1.18742e+06,1.66593e+06,1.80963e+06,0.0996147,0.0129884,0.0855428,0.100091,0.13994
