category,name,cross_pos,cross_neg,cross_cv,long_pos,long_neg,long_cv,delta_cv,ratio,improved
global-measure,BrainSegVol,1050363.921628,1050197.147575,0.007939500328985508,1053054.93635,1053227.167683,0.008177030639443184,0.0002375303104576766,1.0299175389653303,False
global-measure,BrainSegVolNotVent,1034947.456283,1034799.302965,0.007158040824943149,1037627.699479,1037821.969213,0.009360368354416528,0.0022023275294733797,1.3076718313479123,False
global-measure,SupraTentorialVol,931348.576242,931212.848772,0.007287140610619327,934052.52936,934177.99328,0.006715655187065242,-0.0005714854235540851,0.9215761772565118,True
global-measure,SupraTentorialVolNotVent,915932.110896,915815.004163,0.0063931714174557544,918625.292488,918772.79481,0.00802778249415163,0.0016346110766958756,1.2556807834422794,False
global-measure,SubCortGrayVol,52751.602146,52757.86997,0.005940532043522382,53031.057584,53088.264101,0.05390772961196271,0.047967197568440326,9.07456255046116,False
global-measure,lhCerebralWhiteMatterVol,211347.415676,211337.195719,0.0024178682460817822,208489.862973,208470.180576,0.004720451588710521,0.0023025833426287387,1.9523196089613792,False
global-measure,rhCerebralWhiteMatterVol,212739.884584,212970.333623,0.05413284181211365,210267.623995,210387.434676,0.0284819303917389,-0.025650911420374747,0.5261488116695422,True
global-measure,CerebralWhiteMatterVol,424087.30026,424307.529342,0.025958324392824094,418757.486968,418857.615252,0.011953973099887825,-0.014004351292936269,0.4605063454400922,True
subcortical-volume,Left-Hippocampus,3916.754,3931.426,0.1869478019107618,3860.832,3871.584,0.13905097708141873,-0.04789682482934307,0.7437957315368368,True
subcortical-volume,Right-Hippocampus,3987.539,4028.651,0.512862095334562,3972.655,3977.341,0.05894342588348088,-0.45391866945108106,0.11493036124073383,True
subcortical-volume,Left-Amygdala,1432.553,1433.655,0.03844801214705498,1474.635,1470.367,0.14492350090084927,0.10647548875379428,3.7693366394743513,False
subcortical-volume,Right-Amygdala,1562.863,1543.474,0.6241756770112233,1592.8,1603.812,0.34448972850004766,-0.2796859485111757,0.5519114909276629,True
subcortical-volume,Left-Thalamus,6732.39,6792.329,0.4431811115632006,6815.152,6825.332,0.07463078289597562,-0.368550328667225,0.16839793246768994,True
subcortical-volume,Right-Thalamus,6272.66,6246.022,0.2127859785878411,6332.688,6308.668,0.19001126145012004,-0.022774717137721057,0.8929689010109314,True
