reference_variant,session_group,structure,n_sources,n_methods,reference_volume_ml,source_median_ml,source_mad_ml,reference_strength
trusted_source_median,2018_primary_t1,right_caudate,2,2,3.648202890625,3.648202890625,0.20552710937499996,weak
trusted_method_balanced_median,2018_primary_t1,right_caudate,2,2,3.648202890625,3.648202890625,0.20552710937499996,weak
all_source_median,2018_primary_t1,right_cerebellum_cortex,2,2,49.1970743125,49.1970743125,1.4935586874999984,weak
trusted_source_median,2018_primary_t1,right_cerebellum_cortex,2,2,49.1970743125,49.1970743125,1.4935586874999984,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebellum_cortex,2,2,49.1970743125,49.1970743125,1.4935586874999984,weak
all_source_median,2018_primary_t1,right_cerebellum_white_matter,2,2,11.491800375,11.491800375,0.24883162500000022,weak
trusted_source_median,2018_primary_t1,right_cerebellum_white_matter,2,2,11.491800375,11.491800375,0.24883162500000022,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebellum_white_matter,2,2,11.491800375,11.491800375,0.24883162500000022,weak
all_source_median,2018_primary_t1,right_cerebral_cortex,2,2,250.21346445312497,250.21346445312497,7.662585546874979,weak
trusted_source_median,2018_primary_t1,right_cerebral_cortex,2,2,250.21346445312497,250.21346445312497,7.662585546874979,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebral_cortex,2,2,250.21346445312497,250.21346445312497,7.662585546874979,weak
all_source_median,2018_primary_t1,right_cerebral_white_matter,2,2,200.291300546875,200.291300546875,7.3546794531250015,weak
trusted_source_median,2018_primary_t1,right_cerebral_white_matter,2,2,200.291300546875,200.291300546875,7.3546794531250015,weak
trusted_method_balanced_median,2018_primary_t1,right_cerebral_white_matter,2,2,200.291300546875,200.291300546875,7.3546794531250015,weak
all_source_median,2018_primary_t1,right_hippocampus,2,2,3.7856873125,3.7856873125,0.01470331250000001,weak
trusted_source_median,2018_primary_t1,right_hippocampus,2,2,3.7856873125,3.7856873125,0.01470331250000001,weak
trusted_method_balanced_median,2018_primary_t1,right_hippocampus,2,2,3.7856873125,3.7856873125,0.01470331250000001,weak
all_source_median,2018_primary_t1,right_inferior_lateral_ventricle,2,2,0.4487325,0.4487325,0.0012675000000000047,weak
trusted_source_median,2018_primary_t1,right_inferior_lateral_ventricle,2,2,0.4487325,0.4487325,0.0012675000000000047,weak
trusted_method_balanced_median,2018_primary_t1,right_inferior_lateral_ventricle,2,2,0.4487325,0.4487325,0.0012675000000000047,weak
all_source_median,2018_primary_t1,right_lateral_ventricle,2,2,4.725490531249999,4.725490531249999,0.17704853125000009,weak
trusted_source_median,2018_primary_t1,right_lateral_ventricle,2,2,4.725490531249999,4.725490531249999,0.17704853125000009,weak
trusted_method_balanced_median,2018_primary_t1,right_lateral_ventricle,2,2,4.725490531249999,4.725490531249999,0.17704853125000009,weak
all_source_median,2018_primary_t1,right_pallidum,2,2,1.559787796875,1.559787796875,0.08410420312500011,weak
