reference_variant,session_group,structure,source_id,method,scan_id,include_in_reference,source_volume_ml,reference_volume_ml,signed_error_pct,abs_rel_error_pct,operational_accuracy_pct,n_reference_sources,n_reference_methods,reference_strength
all_source_median,2018_primary_t1,third_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.6781699999999999,0.77590140625,-12.595853733832577,12.595853733832577,87.40414626616743,2,2,weak
trusted_source_median,2018_primary_t1,third_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.6781699999999999,0.77590140625,-12.595853733832577,12.595853733832577,87.40414626616743,2,2,weak
trusted_method_balanced_median,2018_primary_t1,third_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.6781699999999999,0.77590140625,-12.595853733832577,12.595853733832577,87.40414626616743,2,2,weak
all_source_median,2018_primary_t1,fourth_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.413151,1.550764953125,-8.873940105990233,8.873940105990233,91.12605989400977,2,2,weak
trusted_source_median,2018_primary_t1,fourth_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.413151,1.550764953125,-8.873940105990233,8.873940105990233,91.12605989400977,2,2,weak
trusted_method_balanced_median,2018_primary_t1,fourth_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.413151,1.550764953125,-8.873940105990233,8.873940105990233,91.12605989400977,2,2,weak
all_source_median,2018_primary_t1,brain_stem,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,19.397191,17.809581828124998,8.914354010085964,8.914354010085964,91.08564598991404,2,2,weak
trusted_source_median,2018_primary_t1,brain_stem,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,19.397191,17.809581828124998,8.914354010085964,8.914354010085964,91.08564598991404,2,2,weak
trusted_method_balanced_median,2018_primary_t1,brain_stem,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,19.397191,17.809581828124998,8.914354010085964,8.914354010085964,91.08564598991404,2,2,weak
all_source_median,2018_primary_t1,left_hippocampus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.846932,3.835966,0.28587323245304597,0.28587323245304597,99.71412676754696,2,2,weak
trusted_source_median,2018_primary_t1,left_hippocampus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.846932,3.835966,0.28587323245304597,0.28587323245304597,99.71412676754696,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_hippocampus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.846932,3.835966,0.28587323245304597,0.28587323245304597,99.71412676754696,2,2,weak
all_source_median,2018_primary_t1,left_amygdala,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.712266,1.5913380781250002,7.599134560864883,7.599134560864883,92.40086543913512,2,2,weak
trusted_source_median,2018_primary_t1,left_amygdala,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.712266,1.5913380781250002,7.599134560864883,7.599134560864883,92.40086543913512,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_amygdala,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,1.712266,1.5913380781250002,7.599134560864883,7.599134560864883,92.40086543913512,2,2,weak
all_source_median,2018_primary_t1,csf,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,202.01762,101.42277484374999,99.18368464205847,99.18368464205847,0.8163153579415336,2,2,weak
