reference_variant,source_id,method,scan_id,n_structures,median_dice,p10_dice,median_hd95_mm,p90_hd95_mm,median_assd_mm,median_abs_volume_error_pct,p90_abs_volume_error_pct,interpretation
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_ax,SynthSeg,2024_phi_t1ffe_ax,32,0.835851648770954,0.6957104557640751,1.7320507764816284,3.1622776985168457,0.6890534460544586,9.767393780016656,26.62095391751538,moderate_spatial_agreement
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,32,0.8367043361356892,0.7308181432810513,1.8258264660835266,3.0,0.7325779497623444,11.484441938574125,42.01388888888889,moderate_spatial_agreement
trusted_leave_one_source_out_registered_hard_vote,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,32,0.7560938861777717,0.6316639741518578,2.2360680103302,3.1622776985168457,0.9208616018295288,5.715398779983207,39.16684111366966,moderate_spatial_agreement
trusted_leave_one_source_out_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,32,0.7502083435005955,0.504384133611691,2.4494898319244385,3.0,1.0146700739860535,8.451214480477095,99.10198750204093,moderate_spatial_agreement
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,32,0.8314061024878123,0.64794866866029,1.7320507764816284,22.0,0.7254953980445862,16.333529568436315,33.945332228933914,moderate_spatial_agreement
trusted_registered_hard_vote,synthseg_2024_t1ffe_ax,SynthSeg,2024_phi_t1ffe_ax,32,0.9026966223438742,0.8631956252010478,1.4142135381698608,2.0,0.40976062417030334,8.881178904371126,24.919896640826874,high_spatial_agreement
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,32,0.9034768641199087,0.8207547169811321,1.4142135381698608,2.2360680103302,0.4503561109304428,10.374747916590415,28.892455858747994,high_spatial_agreement
trusted_registered_hard_vote,tigerbx_2024_3di,TIGERBx,kate_2024_3di,32,0.7751418310438175,0.574793875147232,2.1180340051651,25.079872131347656,0.842432051897049,17.76252649273375,70.38216560509554,moderate_spatial_agreement
trusted_registered_hard_vote,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,32,0.8061244986482294,0.6960865945045795,2.0,2.4494898319244385,0.7513683438301086,6.468003336667942,41.146496815286625,moderate_spatial_agreement
trusted_registered_hard_vote,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,32,0.789331296378261,0.5623003194888179,2.2360680103302,2.8284270763397217,0.8160695135593414,7.290841552279748,99.03504924438774,moderate_spatial_agreement
