reference_variant,source_id,method,scan_id,structure,label,dice,jaccard,hd95_mm,assd_mm,source_voxels,reference_voxels,intersection_voxels,signed_volume_error_pct,abs_volume_error_pct,n_reference_sources
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebral_white_matter,2,0.6606293849643251,0.4932386731111978,22.0,3.817566394805908,129559,172895,99905,-25.06492379768067,25.06492379768067,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebral_cortex,3,0.64794866866029,0.4792337788079804,29.84962272644043,5.568644046783447,163482,247495,133146,-33.945332228933914,33.945332228933914,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_lateral_ventricle,4,0.8369517058041648,0.7196190476190476,1.4142135381698608,0.5443281531333923,4318,4710,3778,-8.32271762208068,8.32271762208068,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_inferior_lateral_ventricle,5,0.5059665871121718,0.33865814696485624,5.80071496963501,1.2193042039871216,288,131,106,119.84732824427482,119.84732824427482,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebellum_white_matter,7,0.8075311881416011,0.6771927115503397,2.4494898319244385,0.9861829280853271,11912,9811,8771,21.414738558760575,21.414738558760575,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebellum_cortex,8,0.9097956237578729,0.8345184110284781,2.0,0.7474405765533447,51421,49716,46007,3.4294794432375895,3.4294794432375895,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_thalamus,10,0.8817125202295131,0.7884488883041705,1.7320507764816284,0.7820460796356201,7232,6362,5993,13.674944985853504,13.674944985853504,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_caudate,11,0.7675396933098114,0.6227703149086105,2.8284270763397217,0.9181832075119019,4392,2977,2828,47.5310715485388,47.5310715485388,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_putamen,12,0.8406772745818033,0.7251451698046806,2.2360680103302,0.8001478910446167,5326,4478,4121,18.93702545779366,18.93702545779366,4
trusted_registered_hard_vote,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_pallidum,13,0.8264957264957264,0.7042971595047341,1.4142135381698608,0.6576962471008301,1263,1077,967,17.270194986072422,17.270194986072422,4
