scan_id,branch,n,raw_model_output_min,raw_model_output_median,raw_model_output_max,app_years_min,app_years_median,app_years_max,raw_as_years_min,raw_as_years_median,raw_as_years_max
kate_2018_t1_ge_fspgr,raw_direct_t1like,1,59.024131774902344,59.024131774902344,59.024131774902344,4.918677647908528,4.918677647908528,4.918677647908528,59.024131774902344,59.024131774902344,59.024131774902344
kate_2018_t1_ge_fspgr_tigerbx_tbet,existing_tigerbx_tbet,1,44.72478485107422,44.72478485107422,44.72478485107422,3.727065404256185,3.727065404256185,3.727065404256185,44.72478485107422,44.72478485107422,44.72478485107422
kate_2022_t1_se_sag,raw_direct_t1like,1,43.28239440917969,43.28239440917969,43.28239440917969,3.606866200764974,3.606866200764974,3.606866200764974,43.28239440917969,43.28239440917969,43.28239440917969
kate_2022_t1_se_sag_tigerbx_tbet,existing_tigerbx_tbet,1,97.66381072998047,97.66381072998047,97.66381072998047,8.138650894165039,8.138650894165039,8.138650894165039,97.66381072998047,97.66381072998047,97.66381072998047
kate_2024_3di_901,raw_direct_t1like,1,265.95062255859375,265.95062255859375,265.95062255859375,22.162551879882812,22.162551879882812,22.162551879882812,265.95062255859375,265.95062255859375,265.95062255859375
kate_2024_3di_901_tigerbx_tbet,existing_tigerbx_tbet,1,173.52215576171875,173.52215576171875,173.52215576171875,14.460179646809896,14.460179646809896,14.460179646809896,173.52215576171875,173.52215576171875,173.52215576171875
kate_2024_t1_ffe_401,raw_direct_t1like,1,191.8234405517578,191.8234405517578,191.8234405517578,15.985286712646484,15.985286712646484,15.985286712646484,191.8234405517578,191.8234405517578,191.8234405517578
kate_2024_t1_ffe_401_tigerbx_tbet,existing_tigerbx_tbet,1,50.96232604980469,50.96232604980469,50.96232604980469,4.246860504150391,4.246860504150391,4.246860504150391,50.96232604980469,50.96232604980469,50.96232604980469
kate_2024_t1_ffe_601,raw_direct_t1like,1,64.22261810302734,64.22261810302734,64.22261810302734,5.351884841918945,5.351884841918945,5.351884841918945,64.22261810302734,64.22261810302734,64.22261810302734
kate_2024_t1_ffe_601_tigerbx_tbet,existing_tigerbx_tbet,1,91.79253387451172,91.79253387451172,91.79253387451172,7.649377822875977,7.649377822875977,7.649377822875977,91.79253387451172,91.79253387451172,91.79253387451172
