photo_mesh,source_vertices,target_cap_vertices,front_axis,front_sign,pca_signs,score,mean_mm,median_mm,p75_mm,p90_mm,max_mm,alignment_preview
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,38365,30712,1,1,"[1, -1, -1]",3.604952554142564,2.928624010246511,2.1276581521932068,3.504200064576273,5.90917760779743,17.581450680149832,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1.ply,38365,30712,1,1,"[1, -1, -1]",3.442429634258293,2.809848511426336,2.047740806337649,3.3106446399377694,5.578755311682576,16.741906212402228,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1.ply,38365,30712,1,1,"[-1, 1, -1]",3.461377912685,2.7655820697048155,2.0488213621971143,3.2363410728119617,5.650226201951543,15.751971722818578,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1.ply,38365,30712,1,1,"[1, -1, -1]",3.424475407514885,2.799342166435469,2.025782999552419,3.2617610509429236,5.594769631849864,16.773366832468565,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1.ply,38365,30712,1,1,"[-1, 1, -1]",3.618572893869136,2.835348562691019,2.068799376876577,3.354110353133688,6.199094067970236,16.14068768146096,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_2_2026-04-09_20-38-32_3ddfa_v2_face1.ply,38365,30712,1,1,"[-1, 1, -1]",3.4739168872736164,2.731964014177897,2.0347726571803237,3.2186986442870626,5.75657692037317,14.584228900262309,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_2_1_photo_2_2026-04-09_20-38-32_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_3_2026-04-09_20-38-32_3ddfa_v2_face1.ply,38365,30712,1,1,"[1, -1, -1]",3.5275591040797027,2.891402784549401,2.080522745472874,3.446554267949248,5.7881454344273155,18.354707544968594,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_2_1_photo_3_2026-04-09_20-38-32_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_4_2026-04-09_20-38-32_3ddfa_v2_face1.ply,38365,30712,1,1,"[-1, -1, 1]",3.4677644853055636,2.8578224263461847,2.0440983079678743,3.3291185607148686,5.694664709350758,17.33159519160217,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_2_1_photo_4_2026-04-09_20-38-32_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_5_2026-04-09_20-38-32_3ddfa_v2_face1.ply,38365,30712,1,1,"[-1, 1, -1]",3.6216194817742107,2.916879854489438,2.044339695196587,3.498409206184447,6.309119146310494,15.932532967152172,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2\kate_batch_2_1_photo_5_2026-04-09_20-38-32_3ddfa_v2_face1_to_mri_alignment.png
