method,metric,n_genuine,n_impostor,genuine_median,genuine_p90,impostor_p10,impostor_median,median_margin,strict_gap_p10_minus_p90,auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,passes_genuine_p90_lt_impostor_p10
3ddfa_v2,mesh_median_pct_bbox,16,20,0.73590187240637,1.0892427633185886,0.4243269843615473,0.6666609901065712,-0.06924088229979874,-0.6649157789570412,0.41875,0.55625,0.678545072364691,0.55,0.5625,False
3ddfa_v2,mesh_p90_pct_bbox,16,20,1.2185228607473777,1.8814197642700985,0.7498976613700826,1.2075879266743423,-0.010934934073035363,-1.131522102900016,0.428125,0.5,1.2015189956882695,0.5,0.5,False
3ddfa_v2,landmark_descriptor_distance,16,20,0.10621056064274245,0.1726747268549919,0.05166173270117035,0.09636142426383643,-0.009849136378906026,-0.12101299415382155,0.409375,0.6125,0.1002444347392654,0.6,0.625,False
mediapipe,mesh_median_pct_bbox,16,20,1.3516005162377196,2.22821234396695,0.8371351050197796,1.435719992610239,0.08411947637251949,-1.3910772389471706,0.5125,0.44375,1.373613575994148,0.45,0.4375,False
mediapipe,mesh_p90_pct_bbox,16,20,3.0726361741296553,3.809493246628436,1.7841121456174818,2.9582600670836032,-0.11437610704605206,-2.0253811010109546,0.525,0.55625,3.027037288979838,0.55,0.5625,False
mediapipe,landmark_descriptor_distance,16,20,0.19073028455082905,0.37077346884301376,0.09375319564310057,0.17062011093159168,-0.020110173619237365,-0.2770202731999132,0.428125,0.55625,0.1756375249512723,0.55,0.5625,False
