method,left_image,right_image,left_mesh,right_mesh,median_distance,p90_distance,mean_distance,median_pct_bbox,p90_pct_bbox,scale_left_to_right
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,5.951526767242774,12.65290840818955,6.8678840100095,0.8884735795924686,1.8888892321806543,1.0628065805434312
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,11.690891010236571,19.070218215171327,12.841553440569415,1.7327588261267919,2.826481651361607,1.076518556042925
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,4.270019685818493,10.625980986312358,5.627571273719342,0.6923869411200375,1.7230109022558804,0.9954851476303515
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,5.767629398005108,11.973053910519809,6.776424496107381,0.9982912264957267,2.0723583032859927,0.9435826709915343
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,13.73767996964391,22.864668885581317,14.600689980281665,2.0859603945083554,3.4718230322922863,1.011561543696928
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,10.893713280035115,22.642491807572952,13.271877029644378,1.667809559128727,3.4665281991929136,1.1024741252060135
mediapipe,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,13.994036134934209,25.127554368621762,15.395022261826112,2.0741181835253317,3.7242663175190382,1.009308493349117
mediapipe,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,6.327172944367417,11.043389078196734,7.1128113618577204,1.0259559072848348,1.790693941961393,0.9347622761419755
mediapipe,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,5.210219674696766,9.965474139805554,5.941454144246603,0.9018118589873715,1.7248759785222807,0.8870776312932089
mediapipe,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,9.715453863020041,20.422351174477303,11.521931068001551,1.4752164861690484,3.100975987709304,0.9524646707346422
mediapipe,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,12.774678621862028,26.612450899736885,14.90196273077155,1.9557822546501062,4.074322396915701,1.0344750920579513
mediapipe,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,8.47121264406644,15.57504275970478,9.487725678509253,1.373613575994148,2.525505034560203,0.918437719552709
mediapipe,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,9.27865901282646,17.636171497292565,10.576907851816165,1.6059984522157316,3.0525600831445066,0.8696961427045552
mediapipe,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,16.523881204550655,27.814531946467852,18.818496318674946,2.5090234910419973,4.223421433628232,0.9298428557625765
mediapipe,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,5.521232011694243,12.866645883217613,6.827444751506246,0.8452915264574971,1.9698622908758479,1.0232808199997374
mediapipe,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,3.763903610869094,7.915302753640281,4.6808582903452285,0.6514759692094341,1.3700216759332013,0.9472787268673368
mediapipe,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,12.825159329886457,22.362450518279125,14.001397558983877,1.947401196891903,3.39556505962864,1.0146784433018594
mediapipe,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,7.591625237507164,19.4367102710054,9.736591728436233,1.1622653189929124,2.9757283264842656,1.1088084824872029
