photo_mesh,source_vertices,target_cap_vertices,front_axis,front_sign,pca_signs,score,mean_mm,median_mm,p75_mm,p90_mm,max_mm,alignment_preview
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_3ddfa_v2\kate_selected_2026_04_09_kate_1_1_frontal_2026-04-09_3ddfa_v2_face1.ply,38365,30712,1,1,"[1, -1, -1]",3.604952554142564,2.928624010246511,2.1276581521932068,3.504200064576273,5.90917760779743,17.581450680149832,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_3ddfa_v2\kate_selected_2026_04_09_kate_1_1_frontal_2026-04-09_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_3ddfa_v2\kate_selected_2026_04_09_kate_2_1_frontal_low_2026-04-09_3ddfa_v2_face1.ply,38365,30712,1,1,"[-1, 1, -1]",3.4739168872736164,2.731964014177897,2.0347726571803237,3.2186986442870626,5.75657692037317,14.584228900262309,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_3ddfa_v2\kate_selected_2026_04_09_kate_2_1_frontal_low_2026-04-09_3ddfa_v2_face1_to_mri_alignment.png
D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_3ddfa_v2\kate_selected_2026_04_09_kate_2_1_gaze_side_2026-04-09_3ddfa_v2_face1.ply,38365,30712,1,1,"[1, -1, -1]",3.5275591040797027,2.891402784549401,2.080522745472874,3.446554267949248,5.7881454344273155,18.354707544968594,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_3ddfa_v2\kate_selected_2026_04_09_kate_2_1_gaze_side_2026-04-09_3ddfa_v2_face1_to_mri_alignment.png
